"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3423","Add/delete todo items","chromium","Mon Aug 04 16:08:20 CEST 2025","passed","Mon Aug 04 16:08:23 CEST 2025","","mobileTesting.spec.ts","",""
"","5041","Remove items from Cart","chromium","Mon Aug 04 16:08:14 CEST 2025","passed","Mon Aug 04 16:08:19 CEST 2025","","ecommerceCheckoutFlow.spec.ts","",""
"","13925","Fill form with invalid data","chromium","Mon Aug 04 16:08:20 CEST 2025","passed","Mon Aug 04 16:08:33 CEST 2025","","formValidation.spec.ts","",""
"","4952","Verify total price and Checkout","chromium","Mon Aug 04 16:08:14 CEST 2025","passed","Mon Aug 04 16:08:19 CEST 2025","","ecommerceCheckoutFlow.spec.ts","",""
"","17044","Create an article using API call and delete it","chromium","Mon Aug 04 16:08:14 CEST 2025","passed","Mon Aug 04 16:08:31 CEST 2025","","apiTestingPw.spec.ts","",""
"","4717","Login User with incorrect email and password","chromium","Mon Aug 04 16:08:31 CEST 2025","passed","Mon Aug 04 16:08:36 CEST 2025","","userLoginAndSession.spec.ts","",""
"","20011","Search by filtering","chromium","Mon Aug 04 16:08:28 CEST 2025","passed","Mon Aug 04 16:08:48 CEST 2025","","searchAndFiltering.spec.ts","",""
"","5792","Logout User","chromium","Mon Aug 04 16:08:32 CEST 2025","passed","Mon Aug 04 16:08:38 CEST 2025","","userLoginAndSession.spec.ts","",""
"","14060","Modifying API Response","chromium","Mon Aug 04 16:08:14 CEST 2025","passed","Mon Aug 04 16:08:28 CEST 2025","","apiTestingPw.spec.ts","",""
"","4734","Login User with correct email and password","chromium","Mon Aug 04 16:08:31 CEST 2025","passed","Mon Aug 04 16:08:36 CEST 2025","","userLoginAndSession.spec.ts","",""
"","5064","Add products to cart","chromium","Mon Aug 04 16:08:14 CEST 2025","passed","Mon Aug 04 16:08:19 CEST 2025","","ecommerceCheckoutFlow.spec.ts","",""
"","4261","Locked-out user scenario","chromium","Mon Aug 04 16:08:33 CEST 2025","passed","Mon Aug 04 16:08:38 CEST 2025","","userLoginAndSession.spec.ts","",""
"","12227","File Upload","chromium","Mon Aug 04 16:08:20 CEST 2025","passed","Mon Aug 04 16:08:32 CEST 2025","","formValidation.spec.ts","",""
"","5418","Add/delete todo items","iphone","Mon Aug 04 16:08:37 CEST 2025","passed","Mon Aug 04 16:08:42 CEST 2025","","mobileTesting.spec.ts","",""
"","22840","Search by title","chromium","Mon Aug 04 16:08:23 CEST 2025","passed","Mon Aug 04 16:08:46 CEST 2025","","searchAndFiltering.spec.ts","",""
"","16813","Fill form with valid data","chromium","Mon Aug 04 16:08:14 CEST 2025","passed","Mon Aug 04 16:08:31 CEST 2025","","formValidation.spec.ts","",""
